央视频道,#genre#
1,http://www.yaozhenguo.top:5000/TVOD/3000000001000005308/FifastbLive/index.m3u8
2,http://www.yaozhenguo.top:5000/TVOD/3000000001000005969/FifastbLive/index.m3u8
3,http://www.yaozhenguo.top:5000/TVOD/3000000001000007218/FifastbLive/index.m3u8
4,http://www.yaozhenguo.top:5000/TVOD/3000000001000008001/FifastbLive/index.m3u8
5,http://www.yaozhenguo.top:5000/TVOD/3000000001000008176/FifastbLive/index.m3u8
6,http://www.yaozhenguo.top:5000/TVOD/3000000001000008379/FifastbLive/index.m3u8
7,http://www.yaozhenguo.top:5000/TVOD/3000000001000010129/FifastbLive/index.m3u8
8,http://www.yaozhenguo.top:5000/TVOD/3000000001000010948/FifastbLive/index.m3u8
9,http://www.yaozhenguo.top:5000/TVOD/3000000001000028638/FifastbLive/index.m3u8
10,http://www.yaozhenguo.top:5000/TVOD/3000000001000031494/FifastbLive/index.m3u8
11,http://www.yaozhenguo.top:5000/TVOD/3000000010000005837/FifastbLive/index.m3u8
12,http://www.yaozhenguo.top:5000/TVOD/3000000010000000097/FifastbLive/index.m3u8
13,http://www.yaozhenguo.top:5000/TVOD/3000000010000002019/FifastbLive/index.m3u8
14,http://www.yaozhenguo.top:5000/TVOD/3000000010000002809/FifastbLive/index.m3u8
15,http://www.yaozhenguo.top:5000/TVOD/3000000010000003915/FifastbLive/index.m3u8
16,http://www.yaozhenguo.top:5000/TVOD/3000000010000004193/FifastbLive/index.m3u8
17,http://www.yaozhenguo.top:5000/TVOD/3000000010000006077/FifastbLive/index.m3u8
18,http://www.yaozhenguo.top:5000/TVOD/3000000010000006658/FifastbLive/index.m3u8
19,http://www.yaozhenguo.top:5000/TVOD/3000000010000009788/FifastbLive/index.m3u8
20,http://www.yaozhenguo.top:5000/TVOD/3000000010000010833/FifastbLive/index.m3u8
21,http://www.yaozhenguo.top:5000/TVOD/3000000010000011297/FifastbLive/index.m3u8
22,http://www.yaozhenguo.top:5000/TVOD/3000000010000011518/FifastbLive/index.m3u8
23,http://www.yaozhenguo.top:5000/TVOD/3000000010000012558/FifastbLive/index.m3u8
24,http://www.yaozhenguo.top:5000/TVOD/3000000010000012616/FifastbLive/index.m3u8
25,http://www.yaozhenguo.top:5000/TVOD/3000000010000015470/FifastbLive/index.m3u8
26,http://www.yaozhenguo.top:5000/TVOD/3000000010000015560/FifastbLive/index.m3u8
28,http://www.yaozhenguo.top:5000/TVOD/3000000010000019839/FifastbLive/index.m3u8
29,http://www.yaozhenguo.top:5000/TVOD/3000000010000021904/FifastbLive/index.m3u8
30,http://www.yaozhenguo.top:5000/TVOD/3000000010000023434/FifastbLive/index.m3u8
31,http://www.yaozhenguo.top:5000/TVOD/3000000010000025380/FifastbLive/index.m3u8
32,http://www.yaozhenguo.top:5000/TVOD/3000000010000027691/FifastbLive/index.m3u8
33,http://www.yaozhenguo.top:5000/TVOD/3000000010000031669/FifastbLive/index.m3u8
